COMMAND   PID     USER   FD   TYPE DEVICE SIZE/OFF    NODE NAME
python  15047 khushiii  cwd    DIR   0,37     1534 1979616 /home/khushiii/vikaas
python  15047 khushiii  rtd    DIR   0,38      178     256 /
python  15047 khushiii  txt    REG   0,37 17504824 2141392 /home/khushiii/.conda/envs/vikaas_ppe/bin/python3.10
python  15047 khushiii  mem    REG   0,36          2158818 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/matplotlib/_c_internal_utils.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150919 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/nvidia/cuda_cupti/lib/libcupti.so.12 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2140704 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/lib-dynload/_codecs_cn.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2154962 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/81d243bd2c585b0f4821__mypyc.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150851 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/nvidia/cuda_nvrtc/lib/libnvrtc-builtins.so.12.8 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2151655 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/numpy/random/_generator.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150856 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/nvidia/cuda_nvrtc/lib/libnvrtc.so.12 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2151649 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/numpy/random/mtrand.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158461 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/nvidia/cudnn/lib/libcudnn.so.9 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2139849 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/lib-dynload/_codecs_jp.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2151935 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/numpy/fft/_pocketfft_umath.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150951 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/nvidia/cublas/lib/libcublas.so.12 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2141173 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/lib-dynload/_codecs_kr.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2175016 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/torchvision.libs/libwebp.87a45f40.so.7 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150958 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/nvidia/cublas/lib/libcublasLt.so.12 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2171228 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/torch/lib/libgomp.so.1 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2139491 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/lib-dynload/_codecs_hk.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2175012 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/torchvision.libs/libjpeg.4af9affd.so.8 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150826 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/nvidia/cuda_runtime/lib/libcudart.so.12 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2139518 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/lib-dynload/_codecs_tw.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2151653 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/numpy/random/_pcg64.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158327 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/opencv_python.libs/libquadmath-2284e583.so.0.0.0 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2174813 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/torchvision/image.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158312 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/opencv_python.libs/libXau-154567c4.so.6.0.0 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150337 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/pillow.libs/libharfbuzz-0692f733.so.0.61230.0 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2132046 /home/khushiii/.conda/envs/vikaas_ppe/lib/libssl.so.3 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158323 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/opencv_python.libs/libgfortran-83c28eba.so.5.0.0 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150316 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/PIL/_imagingmath.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2140103 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/lib-dynload/_tkinter.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2151636 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/numpy/random/_bounded_integers.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158325 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/opencv_python.libs/libpcre2-16-bca4e6b3.so.0.7.1 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2151643 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/numpy/random/_sfc64.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2151641 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/numpy/random/_common.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2151635 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/numpy/random/bit_generator.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158342 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/opencv_python.libs/libxcb-xfixes-6de855b8.so.0.0.0 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2140316 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/lib-dynload/_decimal.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150343 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/pillow.libs/libpng16-4a38ea05.so.16.53.0 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150056 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/yaml/_yaml.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158338 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/opencv_python.libs/libxcb-shape-7716c890.so.0.0.0 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2138220 /home/khushiii/.conda/envs/vikaas_ppe/lib/libexpat.so.1.11.2 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150339 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/pillow.libs/libjpeg-32d42e18.so.62.4.0 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158339 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/opencv_python.libs/libxcb-shm-0be6dfbf.so.0.0.0 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2175014 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/torchvision.libs/libpng16.c2edc9e1.so.16 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150345 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/pillow.libs/libtiff-295fd75c.so.6.2.0 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158317 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/opencv_python.libs/libavfilter-93b41299.so.11.4.100 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2139325 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/lib-dynload/_zoneinfo.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2151656 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/numpy/random/_philox.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150310 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/PIL/_imaging.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158322 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/opencv_python.libs/libdrm-b0291a67.so.2.4.0 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2140396 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/lib-dynload/_multibytecodec.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2171225 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/torch/lib/libc10.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158321 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/opencv_python.libs/libcrypto-bdaed0ea.so.1.1.1k (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2151634 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/numpy/random/_mt19937.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36            37908 /usr/lib64/libfribidi.so.0.4.0 (path dev=0,38)
python  15047 khushiii  mem    REG   0,36          2158328 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/opencv_python.libs/libssl-60250281.so.1.1.1k (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158331 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/opencv_python.libs/libvpx-ab02766e.so.11.0.1 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2141053 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/lib-dynload/_elementtree.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150342 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/pillow.libs/libopenjp2-94e588ba.so.2.5.4 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158313 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/opencv_python.libs/libaom-512edd8c.so.3.13.1 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2139050 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/lib-dynload/pyexpat.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36           564322 /usr/lib64/libnss_resolve.so.2 (path dev=0,38)
python  15047 khushiii  mem    REG   0,36            37361 /usr/lib64/libX11.so.6.4.0 (path dev=0,38)
python  15047 khushiii  mem    REG   0,36          2158324 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/opencv_python.libs/libopenblasp-r0-59ffcd50.3.15.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158306 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/opencv_python.libs/libQt5Core-195a14c9.so.5.15.18 (path dev=0,37)
