COMMAND   PID     USER   FD      TYPE DEVICE SIZE/OFF    NODE NAME
conda   14991 khushiii  mem       REG   0,36            37640 /usr/lib64/libbz2.so.1.0.8 (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           662559 /usr/lib64/libreproc.so.14.2.4 (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460321 /usr/lib64/python3.14/lib-dynload/_lzma.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460298 /usr/lib64/python3.14/lib-dynload/_bz2.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460356 /usr/lib64/python3.14/lib-dynload/zlib.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460328 /usr/lib64/python3.14/lib-dynload/_queue.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460315 /usr/lib64/python3.14/lib-dynload/_hmac.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460297 /usr/lib64/python3.14/lib-dynload/_blake2.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460313 /usr/lib64/python3.14/lib-dynload/_hashlib.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           181279 /usr/lib64/libssl.so.3.5.4 (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460336 /usr/lib64/python3.14/lib-dynload/_ssl.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460334 /usr/lib64/python3.14/lib-dynload/_socket.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           180105 /usr/lib64/libz.so.1.3.1.zlib-ng (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36            38905 /usr/lib64/libyaml-0.so.2.0.9 (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           712878 /usr/lib64/python3.14/site-packages/_ruamel_yaml.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460325 /usr/lib64/python3.14/lib-dynload/_pickle.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           180147 /usr/lib64/libuuid.so.1.3.0 (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           662557 /usr/lib64/libreproc++.so.14.2.4 (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460305 /usr/lib64/python3.14/lib-dynload/_csv.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460324 /usr/lib64/python3.14/lib-dynload/_multiprocessing.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460318 /usr/lib64/python3.14/lib-dynload/_interpreters.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460354 /usr/lib64/python3.14/lib-dynload/termios.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           458620 /usr/lib/locale/locale-archive (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460314 /usr/lib64/python3.14/lib-dynload/_heapq.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460341 /usr/lib64/python3.14/lib-dynload/_zstd.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460343 /usr/lib64/python3.14/lib-dynload/binascii.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460296 /usr/lib64/python3.14/lib-dynload/_bisect.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460347 /usr/lib64/python3.14/lib-dynload/math.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460352 /usr/lib64/python3.14/lib-dynload/select.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460327 /usr/lib64/python3.14/lib-dynload/_posixsubprocess.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460342 /usr/lib64/python3.14/lib-dynload/array.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460345 /usr/lib64/python3.14/lib-dynload/fcntl.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           458029 /usr/lib64/libm.so.6 (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           458027 /usr/lib64/libc.so.6 (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           459399 /usr/lib64/libpython3.14.so.1.0 (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460329 /usr/lib64/python3.14/lib-dynload/_random.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460338 /usr/lib64/python3.14/lib-dynload/_struct.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460319 /usr/lib64/python3.14/lib-dynload/_json.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460339 /usr/lib64/python3.14/lib-dynload/_uuid.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           460346 /usr/lib64/python3.14/lib-dynload/grp.cpython-314-x86_64-linux-gnu.so (path dev=0,38)
conda   14991 khushiii  mem       REG   0,36           476654 /usr/lib64/gconv/gconv-modules.cache (path dev=0,38)
